KG,Zone_1,Zone_2,Zone_3,Zone_4,Zone_5,Zone_6,Zone_7,Zone_8
"0.5","17152.48","19130.58","21108.68","24652.77","25312.14","28220.11","30940.00","32258.73"
"1","17152.48","19130.58","21108.68","24652.77","25312.14","28220.11","30940.00","32258.73"
"1.5","17243.85","19221.95","21200.05","24744.14","25403.51","29241.36","31961.25","33279.98"
"2","17243.85","19221.95","21200.05","24744.14","25403.51","29241.36","31961.25","33279.98"
"2.5","22775.00","24753.10","28709.30","32253.39","32912.76","38175.01","40894.89","44521.41"
"3","27555.41","29533.50","35550.22","39094.32","39753.68","46087.40","48807.29","54411.90"
"3.5","32427.19","34405.29","42482.52","46026.62","46685.98","55021.05","57740.93","65323.65"
"4","37207.59","39185.69","49323.45","52867.54","53526.91","62933.44","65653.33","75214.14"
"4.5","42079.37","44057.47","56255.75","59799.84","60459.21","71867.09","74586.97","86125.88"
"5","46859.78","48837.88","63096.67","66640.77","67300.13","79779.48","82499.37","96016.38"
"5.5","50907.35","53215.13","69369.61","72913.70","73573.07","86982.29","89702.18","106928.12"
"6","54863.55","57501.01","75551.17","79095.26","79754.63","93163.85","95883.74","116818.62"
"6.5","58911.12","61878.27","81824.10","85368.19","86027.56","100366.66","103086.55","127730.36"
"7","62867.32","66164.15","88005.66","91549.75","92209.12","106548.22","109268.11","137620.86"
"7.5","66914.89","70541.41","94278.59","97822.69","98482.05","113751.03","116470.91","148532.60"
"8","70871.09","74827.29","100460.15","104004.25","104663.61","119932.59","122652.47","158423.10"
"8.5","74918.66","79204.54","106733.09","110277.18","110936.55","127135.40","129855.28","169334.84"
"9","78874.86","83490.42","112914.65","116458.74","117118.11","133316.96","136036.84","179225.33"
"9.5","82922.43","87867.68","119187.58","122731.67","123391.04","140519.77","143239.65","190137.08"
"10","86878.63","92153.56","125369.14","128913.23","129572.60","146701.32","149421.21","200027.57"
"11","94882.40","100816.70","137823.63","141367.73","142027.09","160085.69","162805.58","220829.81"
"12","102886.17","109479.84","150278.13","153822.22","154481.59","173470.06","176189.95","241632.05"
"13","110889.94","118142.97","162732.62","166276.71","166936.08","186854.43","189574.31","262434.29"
"14","118893.71","126806.11","175187.11","178731.21","179390.57","200238.80","202958.68","283236.53"
"15","126897.48","135469.25","187641.60","191185.70","191845.06","213623.16","216343.05","304038.77"
"16","134901.25","144132.38","200096.10","203640.19","204299.56","227007.53","229727.42","324841.01"
"17","142905.03","152795.52","212550.59","216094.68","216754.05","240391.90","243111.79","345643.25"
"18","150908.80","161458.66","225005.08","228549.18","229208.54","253776.27","256496.16","366445.49"
"19","158912.57","170121.79","237459.58","241003.67","241663.04","267160.64","269880.52","387247.72"
"20","166916.34","178784.93","249914.07","253458.16","254117.53","280545.01","283264.89","408049.96"
"21","175084.95","186953.54","262368.56","265912.66","266572.02","293929.37","296649.26","425390.53"
"22","183253.56","195122.16","274823.06","278367.15","279026.52","307313.74","310033.63","442731.10"
"23","191422.17","203290.77","287277.55","290821.64","291481.01","320698.11","323418.00","460071.66"
"24","199590.79","211459.38","299732.04","303276.14","303935.50","334082.48","336802.36","477412.23"
"25","207759.40","219627.99","312186.54","315730.63","316390.00","347466.85","350186.73","494752.79"
"26","215928.01","227796.60","324641.03","328185.12","328844.49","360851.21","363571.10","512093.36"
"27","224096.62","235965.22","337095.52","340639.62","341298.98","374235.58","376955.47","529433.93"
"28","232265.23","244133.83","349550.02","353094.11","353753.48","387619.95","390339.84","546774.49"
"29","240433.85","252302.44","362004.51","365548.60","366207.97","401004.32","403724.20","564115.06"
"30","248602.46","260471.05","374459.00","378003.10","378662.46","414388.69","417108.57","581455.62"
"40","330288.58","342157.17","499003.93","502548.03","503207.39","548232.37","550952.25","754861.28"
"50","411974.70","423843.30","623548.86","627092.96","627752.32","682076.05","684795.94","928266.94"
"60","493660.82","505529.42","748093.80","751637.89","752297.26","815919.73","818639.62","1101672.60"
"70","575346.95","587215.54","872638.73","876182.82","876842.19","949763.41","952483.30","1275078.26"
